pkt_count,total_bytes,duration_s,pps,bps,iat_mean,iat_std,iat_min,iat_max,iat_cv,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,payload_mean,payload_std,payload_max,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,syn_ack_ratio,bytes_per_pkt,tls_port,label
10,600,2.053424,4.8699,292.1949,0.228158,0.254935,2.6e-05,0.516242,1.1174,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.053493,4.8698,292.1851,0.228166,0.254818,9e-06,0.51597,1.1168,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.053026,4.8709,292.2515,0.228114,0.254831,9e-06,0.516578,1.1171,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.053036,4.8708,292.2501,0.228115,0.254886,1.5e-05,0.516163,1.1174,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037189,4.9087,294.5235,0.226354,0.252757,3.9e-05,0.515772,1.1166,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037132,4.9089,294.5318,0.226348,0.25289,4e-06,0.51709,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.052983,4.871,292.2576,0.228109,0.254654,1.2e-05,0.515921,1.1164,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.053002,4.8709,292.255,0.228111,0.254795,3.6e-05,0.516071,1.117,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.036643,4.91,294.6024,0.226294,0.252932,5.3e-05,0.516423,1.1177,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.036762,4.9098,294.5852,0.226307,0.252859,1.8e-05,0.517151,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.052831,4.8713,292.2793,0.228092,0.254813,8e-06,0.517086,1.1171,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.052797,4.8714,292.2842,0.228089,0.254614,2.7e-05,0.51669,1.1163,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.052798,4.8714,292.284,0.228089,0.254771,1e-05,0.516297,1.117,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.036452,4.9105,294.6301,0.226272,0.252807,2.5e-05,0.516067,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.05235,4.8725,292.3478,0.228039,0.254701,2.1e-05,0.516552,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.05269,4.8717,292.2994,0.228077,0.254625,3e-06,0.515988,1.1164,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.052644,4.8718,292.3059,0.228072,0.254658,1.1e-05,0.516122,1.1166,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.036385,4.9107,294.6398,0.226265,0.252716,2.8e-05,0.516051,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.045835,4.888,293.2788,0.227315,0.253891,3.3e-05,0.516105,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.045979,4.8876,293.2581,0.227331,0.2539,1.6e-05,0.517078,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.046031,4.8875,293.2507,0.227337,0.253738,4.9e-05,0.516087,1.1161,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.045466,4.8889,293.3317,0.227274,0.25388,1.5e-05,0.516182,1.1171,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.029336,4.9277,295.6632,0.225482,0.251705,2.6e-05,0.515965,1.1163,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.02949,4.9273,295.6408,0.225499,0.251847,1.5e-05,0.515976,1.1168,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.028898,4.9288,295.727,0.225433,0.251847,2.4e-05,0.516311,1.1172,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.045232,4.8894,293.3652,0.227248,0.253774,1e-05,0.516139,1.1167,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.044569,4.891,293.4604,0.227174,0.253523,1.2e-05,0.516647,1.116,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.044429,4.8913,293.4805,0.227159,0.253597,6.6e-05,0.516665,1.1164,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.044428,4.8913,293.4806,0.227159,0.253754,1.3e-05,0.517425,1.1171,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.027918,4.9312,295.8699,0.225324,0.251661,2.6e-05,0.515786,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.043257,4.8941,293.6488,0.227029,0.253577,3e-06,0.516596,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.027357,4.9325,295.9518,0.225262,0.251487,1.7e-05,0.516095,1.1164,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.043535,4.8935,293.6088,0.227059,0.253764,7e-06,0.517367,1.1176,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.026864,4.9337,296.0238,0.225207,0.251426,4.8e-05,0.515764,1.1164,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.043101,4.8945,293.6712,0.227011,0.253482,4.1e-05,0.516071,1.1166,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.042644,4.8956,293.7369,0.22696,0.253546,5.7e-05,0.516581,1.1171,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.058423,4.8581,291.4853,0.228714,0.255615,4.2e-05,0.517218,1.1176,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.042588,4.8957,293.745,0.226954,0.253558,7.5e-05,0.516596,1.1172,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.0298,4.9266,295.5956,0.225533,0.252072,7.7e-05,0.513403,1.1177,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.040593,4.9005,294.0322,0.226733,0.253301,2.4e-05,0.516217,1.1172,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.023689,4.9415,296.4883,0.224854,0.251325,3.8e-05,0.5123,1.1177,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.023703,4.9414,296.4862,0.224856,0.251245,1.6e-05,0.512168,1.1174,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.039763,4.9025,294.1518,0.22664,0.253288,3.5e-05,0.516184,1.1176,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.03854,4.9055,294.3283,0.226504,0.252967,8.1e-05,0.516111,1.1168,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.021872,4.9459,296.7547,0.224652,0.251042,2.7e-05,0.510433,1.1175,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.038102,4.9065,294.3916,0.226456,0.253012,4.6e-05,0.516071,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.038059,4.9066,294.3978,0.226451,0.252949,7.4e-05,0.516459,1.117,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.021782,4.9461,296.7679,0.224642,0.250991,4e-06,0.510311,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.021828,4.946,296.7612,0.224648,0.250981,3.2e-05,0.510295,1.1172,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.038008,4.9068,294.4051,0.226445,0.253019,4.9e-05,0.516144,1.1174,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.021872,4.9459,296.7547,0.224652,0.250955,7.4e-05,0.510253,1.1171,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.038088,4.9066,294.3936,0.226454,0.252917,9.3e-05,0.516038,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037847,4.9071,294.4284,0.226427,0.253056,9.2e-05,0.516127,1.1176,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.02151,4.9468,296.8078,0.224612,0.250997,1.2e-05,0.510105,1.1175,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037842,4.9072,294.4291,0.226427,0.252996,2.8e-05,0.5162,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.021518,4.9468,296.8067,0.224613,0.250953,8e-06,0.510031,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037743,4.9074,294.4434,0.226416,0.252864,2.9e-05,0.516432,1.1168,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.037868,4.9071,294.4253,0.22643,0.252945,1.3e-05,0.516054,1.1171,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.030484,4.9249,295.4961,0.225609,0.251989,8.1e-05,0.516094,1.1169,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.013762,4.9658,297.9498,0.223751,0.249925,1.6e-05,0.506125,1.117,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.013565,4.9663,297.9789,0.223729,0.249923,1.2e-05,0.506129,1.1171,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
10,600,2.029637,4.927,295.6194,0.225515,0.25197,3.5e-05,0.516167,1.1173,60.0,6.0,54,66,0.0,0.0,0,0.5,0.5,0.0,0.5,0.0,1.0,60.0,1,ddos
